source_id,source_type,raw_text,source_url,date,company_seed
47,USPTO,"Patent 10550102. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 16216420. Application year: 2018. Location: Basel, nan, CH. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 12. Inventors: Christopher M. Adams; Doug Bevan; Michael Paul Capparelli; Takeru Ehara; Luciana Ferrara; Nan Ji; Erik Meredith; Muneto Mogi; James J. Powers; Ganesh Prasanna.",https://patents.google.com/patent/US10550102,2020,Novartis
48,USPTO,"Patent 10550126. Assignee: ABBVIE INC.. Grant year: 2020. Application number: 15954039. Application year: 2018. Location: North Chicago, IL, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 5. Inventors: Aileen L. Pangan; Henrique D. Teixeira; Mohamed-Eslam F. Mohamed; Ahmed A. Othman; Ben Klünder.",https://patents.google.com/patent/US10550126,2020,AbbVie
49,USPTO,"Patent 10550159. Assignee: PFIZER INC.. Grant year: 2020. Application number: 16208347. Application year: 2018. Location: New York, NY, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 5. Inventors: Annaliesa Sybil Anderson; Susan Kay Hoiseth; Kathrin Ute Jansen; Justin Keith Moran; Mark Edward Ruppen.",https://patents.google.com/patent/US10550159,2020,Pfizer
50,USPTO,"Patent 10550200. Assignee: PFIZER INC.. Grant year: 2020. Application number: 15239556. Application year: 2016. Location: New York, NY, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 10. Inventors: Debra Pittman; James R. Apgar; Zong Sean Juo; Macy Jin; Mark Stahl; Gregory J. Carven; Matthew Holsti; Susan Benard; Sunita R. Hett; Reema Jasuja.",https://patents.google.com/patent/US10550200,2020,Pfizer
51,USPTO,"Patent 10550228. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15737490. Application year: 2016. Location: Tokyo, nan, JP. CPC sections: C B H. IPC sections: B C H. WIPO field: Macromolecular chemistry, polymers. WIPO sector: Chemistry. Team size: 7. Inventors: Naoki Kashima; Katsuya Tomizawa; Meguru Ito; Tomoki Hamajima; Eisuke Shiga; Kentaro Takano; Shota KOGA.",https://patents.google.com/patent/US10550228,2020,MITSUBISHI GAS CHEMICAL CO INC
52,USPTO,"Patent 10550244. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15521062. Application year: 2015. Location: Tokyo, nan, JP. CPC sections: C H Y. IPC sections: C H. WIPO field: Macromolecular chemistry, polymers. WIPO sector: Chemistry. Team size: 3. Inventors: Takashi Kobayashi; Kentaro Takano; Sotaro Hiramatsu.",https://patents.google.com/patent/US10550244,2020,MITSUBISHI GAS CHEMICAL CO INC
53,USPTO,"Patent 10550404. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15713021. Application year: 2017. Location: Basel, nan, CH. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 4. Inventors: Vivian Choi; Chad Bigelow; Thaddeus P. Dryja; Seshidhar Reddy Police.",https://patents.google.com/patent/US10550404,2020,Novartis
54,USPTO,"Patent 10550429. Assignee: 10X GENOMICS, INC.. Grant year: 2020. Application number: 16426762. Application year: 2019. Location: Pleasanton, CA, US. CPC sections: C. IPC sections: C. WIPO field: Biotechnology. WIPO sector: Chemistry. Team size: 5. Inventors: Josephine Harada; Tarjei Sigurd Mikkelsen; Katherine Pfeiffer; Serge Saxonov; John R. Stuelpnagel.",https://patents.google.com/patent/US10550429,2020,10X Genomics
55,USPTO,"Patent 10555807. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15354265. Application year: 2016. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 4. Inventors: Chris Belisle; Kyle Brown; Asif Fayyaz; Jian Liu.",https://patents.google.com/patent/US10555807,2020,Novartis
56,USPTO,"Patent 10555834. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15239601. Application year: 2016. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 1. Inventors: Steven T. Charles.",https://patents.google.com/patent/US10555834,2020,Novartis
57,USPTO,"Patent 10555990. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 16106893. Application year: 2018. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 3. Inventors: Lori Jennings; Kristen Johnson; Peter G. Schultz.",https://patents.google.com/patent/US10555990,2020,Novartis
